group,windows,top_fraction_mean,mean_score,max_score,label,seed,prediction,log_key
0,12,0.012622373912789402,0.005968281889626756,0.013976082565596157,0,0,0,00_02_49
1,8,0.005075533398506572,0.0036281248993114195,0.005075533398506572,0,0,0,00_14_08
2,4,0.08264340391213063,0.07594460102229134,0.08264340391213063,1,0,0,2018-05-24/19_06_07
3,45,0.6815165587157377,0.27112852895964673,0.7443246051685446,0,0,1,2018-05-24/19_20_57
4,12,0.9944588451731289,0.8149427592020345,0.9953404187987703,1,0,1,2018-05-24/19_48_57
5,19,0.7406944120947818,0.15556552292764103,0.7768530171427409,1,0,1,2018-05-24/19_52_02
6,13,0.9216651338607336,0.6787356737813219,0.9220395005321822,0,0,1,2018-05-24/19_55_16
8,13,0.39978934197121163,0.24505648274587571,0.4334144301745226,0,0,1,2018-05-24/20_01_26
11,39,0.48677243558159666,0.07465774213833762,0.8731280230495206,0,0,1,2018-05-26/16_27_25
12,11,0.8230146577692397,0.22955631930599954,0.9276100197214817,0,0,1,2018-05-26/16_38_09
13,11,0.6388971101486661,0.15337072099288737,0.6662801422495791,0,0,1,2018-05-26/16_45_09
16,14,0.7438632801784456,0.5802485312484065,0.7447606609996328,0,0,1,2018-05-26/16_50_55
17,12,0.45596858050874367,0.33607003225214704,0.4610740525806552,0,0,1,2018-05-30/18_06_12
18,31,0.4991212555128458,0.12245988033427911,0.6151228866267126,0,0,1,2018-05-30/18_08_19
20,72,0.8552710463960969,0.3733746308953505,0.8836129941181169,1,0,1,2018-05-30/18_39_02
21,335,0.8128303590575244,0.09689832412519607,0.9972371464908925,1,0,1,2018-05-31/14_33_03
22,128,0.009677899902744007,0.005050342398464572,0.012106215957641928,1,0,0,2018-05-31/15_14_55
23,286,0.5243390173030611,0.0584813852199627,0.9296232455329945,1,0,1,2018-05-31/15_27_43
24,98,0.8778895081128051,0.12911647155857253,0.9403464335559907,0,0,1,2018-05-31/15_58_30
26,20,0.13932586823063325,0.02738169456902591,0.1425679623327106,0,0,0,2018-06-02/14_23_25
27,24,0.1676680470148176,0.06729617229768835,0.2052950026950014,0,0,0,2018-06-02/14_25_48
31,33,0.7830647180632416,0.5169841334962357,0.7996404610552532,1,0,1,2018-06-02/15_24_48
32,5,0.5869529178240491,0.4851287317028434,0.5869529178240491,1,0,1,2018-06-02/15_27_56
33,8,0.9787196949062948,0.9739274647453593,0.9787196949062948,1,0,1,2018-06-02/15_37_07
34,2,0.0010163824392466438,0.001015377050754713,0.0010163824392466438,1,0,0,2018-06-02/15_51_56
35,1,0.0008541567657582176,0.0008541567657582176,0.0008541567657582176,1,0,0,2018-06-02/16_13_18
38,6,0.5075493338138142,0.41624409404755897,0.5075493338138142,0,0,1,2018-06-04/18_15_21
41,24,0.0505146428410931,0.021686883396711796,0.05383868903205204,0,0,0,2018-06-04/18_25_07
42,34,0.15392419411040423,0.07275039314134721,0.18752708633621307,0,0,0,2018-06-04/18_33_02
43,23,0.44396378144542187,0.15465673190922577,0.48245999586134397,0,0,1,2018-06-04/18_36_56
44,19,0.41622436475408653,0.06822973108539715,0.42891719493576824,0,0,1,2018-06-04/18_48_21
46,26,0.08748648750320631,0.02685933319263824,0.09527818477577124,0,0,0,2018-06-04/19_02_08
47,23,0.22352312212537429,0.0923533945243354,0.2521384650730202,0,0,0,2018-06-04/19_09_21
48,20,0.01396976891675987,0.007065292910871844,0.014222144315791298,0,0,0,2018-06-04/19_17_29
49,8,0.04212983048385909,0.033905716708101837,0.04212983048385909,0,0,0,2018-06-12/18_52_10
50,10,0.5948053268673408,0.44299961784958797,0.5948053268673408,1,0,1,2018-06-12/19_05_12
51,16,0.23043252722035334,0.11198147053619187,0.26550211339983143,1,0,0,2018-06-12/19_06_44
52,16,0.542662485883069,0.2602638860938135,0.5967631178486384,0,0,1,2018-06-12/19_24_37
53,14,0.6959238495693152,0.5107809529110989,0.7307114362338738,1,0,1,2018-06-12/19_31_16
54,3,0.04817302246516662,0.030766133096572473,0.04817302246516662,1,0,0,2018-06-12/19_37_35
56,31,0.8141550315128468,0.2480939734308311,0.9507410312069235,0,0,1,2018-06-12/19_44_57
58,3,0.0016140144357928315,0.0014494261485330099,0.0016140144357928315,1,0,0,2018-06-12/19_58_56
59,3,0.04956360938157913,0.02874547380068959,0.04956360938157913,1,0,0,2018-06-14/log003
61,27,0.17395692993726652,0.038603321971161036,0.26713241718506925,0,0,0,2018-07-03/18_58_45
62,19,0.019076510306309188,0.007375819069141442,0.021696713951403674,0,0,0,2018-07-03/19_12_45
63,24,0.7935920702042525,0.13989158756292577,0.8182777404054821,0,0,1,2018-07-03/19_16_20
64,19,0.8119535578272277,0.6181588318797716,0.8230614942496743,0,0,1,2018-07-04/19_31_44
66,10,0.01043482636505815,0.002753323816432175,0.01043482636505815,0,0,0,2018-07-09/18_55_04
67,23,0.9963542631392873,0.8809117869027858,0.9965590886456944,0,0,1,2018-07-09/18_56_32
74,26,0.11117805712395101,0.021871735214595782,0.201562273771764,0,0,0,2018-07-09/19_32_44
75,6,0.09553488145144004,0.05453402731930356,0.09553488145144004,0,0,0,2018-07-09/19_36_34
78,9,0.008402240346614897,0.002868356598787871,0.008402240346614897,0,0,0,2018-07-09/19_50_38
80,51,0.10710815464093826,0.013605198903987781,0.26668291069957434,0,0,0,2018-07-09/19_56_32
81,26,0.023930794367438557,0.008945277304598662,0.02755625603678654,0,0,0,2018-07-09/20_03_46
95,32,0.9964789773378174,0.6475404064794237,0.997994414489444,0,0,1,2018-07-25/sess010/log001
97,3,0.28840301494301535,0.21760004404054378,0.28840301494301535,1,0,1,2018-07-__/sess005/log001
98,4,0.2802154994327439,0.2629677307395544,0.2802154994327439,1,0,1,2018-07-__/sess005/log003
99,5,0.4804354031855822,0.3252801958240089,0.4804354031855822,1,0,1,2018-07-__/sess005/log004
100,4,0.4904994503685826,0.2990207223995499,0.4904994503685826,1,0,1,2018-07-__/sess005/log005
106,25,0.010370750565756372,0.004326815146201837,0.019074749642222003,0,0,0,2018-07-__/sess011/log001
107,9,0.15878208129446758,0.08603748894983543,0.15878208129446758,0,0,0,2018-07-__/sess012/log001
108,17,0.06491549673721643,0.03589641403551686,0.06768017891755841,0,0,0,2018-07-__/sess013/log001
109,6,0.050067564623665066,0.026925691351917757,0.050067564623665066,0,0,0,2018-07-__/sess013/log002
110,29,0.0968444086576458,0.04277596975362281,0.11593470866807619,0,0,0,2018-07-__/sess013/log003
111,8,0.08966197392214083,0.05353722826253277,0.08966197392214083,0,0,0,2018-07-__/sess014/log003
112,5,0.03619159678922683,0.029810034457120726,0.03619159678922683,0,0,0,2018-07-__/sess015/log002
113,13,0.1147009673983918,0.06562862255041571,0.12185446504342617,0,0,0,2018-07-__/sess015/log005
116,19,0.025127078351520418,0.01209694289487587,0.028730060682901588,0,0,0,2018-08-19/sess073/log001
119,32,0.005499571985502358,0.0022536221089942327,0.00874349269783668,0,0,0,2018-08-21/sess003/log003
120,38,0.006477128971400232,0.002999174915170545,0.007892708886266545,0,0,0,2018-08-21/sess004/log002
