collection,run_id,exit_code,replay_done,published_messages,replay_duration_s,quaternion_valid_fraction
reference,commander_nav_state_override__2018-12-19__07_49_17__baseline,124,True,184308,87.553,1.0
reference,commander_nav_state_override__2018-12-19__07_49_17__fault,124,True,184308,87.553,1.0
reference,commander_nav_state_override__2018-12-20__07_47_50__baseline,124,True,291945,123.428,1.0
reference,commander_nav_state_override__2018-12-20__07_47_50__fault,124,True,291945,123.428,1.0
reference,commander_nav_state_override__2018-12-25__08_44_40__baseline,124,True,327878,141.947,1.0
reference,commander_nav_state_override__2018-12-25__08_44_40__fault,124,True,327878,141.947,1.0
reference,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,124,True,184308,87.553,1.0
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,124,True,184308,87.553,1.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,124,True,291945,123.428,1.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,124,True,291945,123.428,1.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,124,True,327878,141.947,1.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,124,True,327878,141.947,1.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__baseline,124,True,184308,87.553,1.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,124,True,184308,87.553,1.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__baseline,124,True,291945,123.428,1.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,124,True,291945,123.428,1.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__baseline,124,True,327878,141.947,1.0
reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,124,True,327878,141.947,1.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__baseline,124,True,184308,87.553,1.0
reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,124,True,184308,87.553,1.0
reference,land_detector_state_inversion__2018-12-20__07_47_50__baseline,124,True,291945,123.428,1.0
reference,land_detector_state_inversion__2018-12-20__07_47_50__fault,124,True,291945,123.428,1.0
reference,land_detector_state_inversion__2018-12-25__08_44_40__baseline,124,True,327878,141.947,1.0
reference,land_detector_state_inversion__2018-12-25__08_44_40__fault,124,True,327878,141.947,1.0
normal,commander_nav_state_override__2018-12-19__07_49_17__baseline,124,True,184308,87.553,1.0
normal,commander_nav_state_override__2018-12-20__07_47_50__baseline,124,True,291945,123.428,1.0
normal,commander_nav_state_override__2018-12-25__08_44_40__baseline,124,True,327878,141.947,1.0
normal,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,124,True,184308,87.553,1.0
normal,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,124,True,291945,123.428,1.0
normal,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,124,True,327878,141.947,1.0
normal,inav_local_z_freeze__2018-12-19__07_49_17__baseline,124,True,184308,87.553,1.0
normal,inav_local_z_freeze__2018-12-20__07_47_50__baseline,124,True,291945,123.428,1.0
normal,inav_local_z_freeze__2018-12-25__08_44_40__baseline,124,True,327878,141.947,1.0
normal,land_detector_state_inversion__2018-12-19__07_49_17__baseline,124,True,184308,87.553,1.0
normal,land_detector_state_inversion__2018-12-20__07_47_50__baseline,124,True,291945,123.428,1.0
normal,land_detector_state_inversion__2018-12-25__08_44_40__baseline,124,True,327878,141.947,1.0
